Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
LG,4.3,127 ,"₹17,999",32,1,1366 x 768,WebOS,36
Blaupunkt,4.6,"1,531 ","₹32,999",55,1,3840 x 2160,Android,41
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
KODAK,4.4,"6,156 ","₹20,999",43,1,3840 x 2160,Android,44
LG,4.5,3 ,"₹16,599",32,1,1366 x 768,,21
SKYTRON,,,"₹18,999",43,1,3840 x 2160,WebOS,68
iFFALCON,4.3,65 ,"₹1,55,990",65,1,3840 x 2160,Android,
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
LG,4.4,"1,931 ","₹48,990",55,1,3840 x 2160,WebOS,38
LG,4.6,8 ,"₹71,990",55,1,3840 x 2160,WebOS,52
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Compaq,4.2,485 ,"₹33,999",55,1,3840 x 2160,Android,30
SAMSUNG,,,"₹1,29,990",75,1,3840 x 2160,Tizen,51
Blaupunkt,4.4,"2,884 ","₹16,499",40,1,1080 x 1920,Android,38
LG,,,"₹1,99,990",65,1,3840 x 2160,WebOS,37
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
SAMSUNG,4.5,0 ,"₹30,890",43,1,1920 x 1080,Tizen,32
SONY,,,"₹2,99,990",65,1,3840 x 2160,Android,37
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
SAMSUNG,4.2,19 ,"₹18,690",32,1,1366 x 768,Tizen,24
PHILIPS,4.2,31 ,"₹79,990",50,2,3840 x 2160,Android,
SAMSUNG,4,1 ,"₹18,450",32,1,1366 x 768,Tizen,28
Thomson,4.5,"8,390 ","₹53,999",65,1,3840 x 2160,Android,23
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
SONY,4.3,1 ,"₹2,59,999",65,1,3840 x 2160,Android,42
LG,,,"₹3,48,999",65,1,3840 x 2160,WebOS,30
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Lloyd,3.7,1 ,"₹29,999",55,1,3840 x 2160,Android,66
Coocaa,4.4,31 ,"₹32,999",55,1,3840 x 2160,Google,63
Panasonic,,,"₹99,840",65,1,3840 x 2160,Android,23
Panasonic,4.3,"1,182 ","₹31,990",43,1,3840 x 2160,Google,25
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
LG,4.5,9 ,"₹46,499",43,1,3840 x 2160,WebOS,38
SENS,4.4,69 ,"₹35,999",55,1,3840 x 2160,Google,39
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
TCL,4.1,165 ,"₹50,990",65,2,3840 x 2160,Google,59
SONY,5,1 ,"₹1,08,500",65,1,3840 x 2160,Google,34
LG,4.5,333 ,"₹49,990",55,1,3840 x 2160,WebOS,44
SAMSUNG,4.8,2 ,"₹1,44,900",55,1,3840 x 2160,Tizen,
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Thomson,4.6,945 ,"₹40,999",55,1,3840 x 2160,Google,31
Micromax,4,76 ,"₹63,990",50,1,1920 x 1080,,1
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
SAMSUNG,3.8,4 ,"₹24,990",43,1,1920 x 1080,Tizen,37
SAMSUNG,4.4,"2,520 ","₹49,990",55,1,3840 x 2160,Tizen,34
LG,4.8,1 ,"₹2,48,999",65,1,3840 x 2160,WebOS,39
SAMSUNG,4.2,209 ,"₹1,18,990",65,1,3840 x 2160,Tizen,46
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SAMSUNG,3.9,2 ,"₹2,40,900",55,1,3840 x 2160,Tizen,
LG,,,"₹3,48,999",65,1,3840 x 2160,WebOS,30
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Thomson,4.5,"8,390 ","₹29,999",55,1,3840 x 2160,Android,40
LG,,,"₹1,89,990",65,1,7680 x 4320,WebOS,50
SONY,,,"₹82,480",55,1,3840 x 2160,Android,44
LG,4.6,5 ,"₹1,47,999",55,1,3840 x 2160,WebOS,27
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SAMSUNG,,,"₹89,990",65,1,3840 x 2160,Tizen,34
LG,4.4,"1,931 ","₹71,990",65,2,3840 x 2160,WebOS,37
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
SAMSUNG,4.4,0 ,"₹1,28,900",49,1,3840 x 2160,Tizen,
SAMSUNG,2.5,0 ,"₹52,890",55,1,3840 x 2160,Tizen,33
SAMSUNG,,,"₹64,990",55,1,3840 x 2160,Tizen,31
SAMSUNG,4.2,209 ,"₹90,990",55,1,3840 x 2160,Tizen,37
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
IMPEX,,,"₹25,990",43,2,,Google,49
Hisense,4.3,231 ,"₹24,990",43,2,3840 x 2160,Android,41
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SAMSUNG,3.4,2 ,"₹1,28,900",49,1,3840 x 2160,Tizen,
LG,4.8,7 ,"₹1,40,520",55,1,3840 x 2160,WebOS,15
SAMSUNG,4.5,0 ,"₹54,990",55,1,3840 x 2160,Tizen,36
LG,,,"₹94,990",70,1,3840 x 2160,WebOS,42
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
SONY,4.7,2 ,"₹94,900",,1,3840 x 2160,Google,44
SAMSUNG,3,1 ,"₹2,03,900",55,1,3840 x 2160,Tizen,
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Vu,4.4,"4,128 ","₹30,999",50,1,3840 x 2160,Android,31
SAMSUNG,3.8,0 ,"₹29,900",32,1,1366 x 768,,
LG,,,"₹79,999",65,1,3840 x 2160,WebOS,37
LG,3.3,0 ,"₹2,28,491",65,1,3840 x 2160,WebOS,10
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
LG,,,"₹1,29,990",75,1,3840 x 2160,WebOS,51
TCL,4.4,4 ,"₹1,09,990",65,2,3840 x 2160,Android,
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
LG,,,"₹4,98,990",75,1,3840 x 2160,WebOS,
Mi,4.4,"45,921 ","₹19,999",40,1,1920 x 1080,Android,
Nokia,4.3,393 ,"₹32,999",50,1,3840 x 2160,Android,39
Haier,,,"₹59,990",65,2,3840 x 2160,,40
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Acer,4.1,3 ,"₹15,890",32,2,1366 x 768,Google,33
SAMSUNG,5,0 ,"₹33,990",43,1,1920 x 1080,Tizen,34
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
SAMSUNG,,,"₹2,94,900",65,1,3840 x 2160,Tizen,
Panasonic,,,"₹53,890",55,1,3840 x 2160,,29
SAMSUNG,4.1,2 ,"₹59,790",55,1,3840 x 2160,Tizen,33
SONY,4.7,78 ,"₹94,990",65,1,3840 x 2160,Google,47
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
SAMSUNG,4.2,3 ,"₹29,300",43,1,1920 x 1080,Tizen,27
Hisense,4.3,92 ,"₹54,999",55,2,3840 x 2160,VIDAA,31
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
SONY,4.7,57 ,"₹84,990",65,1,3840 x 2160,Google,39
SONY,,,"₹1,54,990",75,1,3840 x 2160,Android,42
MOTOROLA,4.4,217 ,"₹34,999",43,1,3840 x 2160,Android,30
KODAK,4.3,"1,829 ","₹28,999",55,1,3840 x 2160,Android,27
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
IMPEX,,,"₹40,990",55,,3840 x 2160,Google,43
LG,4.5,7 ,"₹1,55,999",55,1,3840 x 2160,WebOS,27
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
LG,,,"₹2,41,999",65,1,3840 x 2160,WebOS,28
BPL,4.7,0 ,"₹21,208",43,1,1920 x 1080,Android,46
LG,4.3,109 ,"₹17,541",32,1,1366 x 768,Linux,26
KODAK,4.4,"6,156 ","₹27,999",50,1,3840 x 2160,Android,39
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SAMSUNG,4.2,3 ,"₹29,300",43,1,1920 x 1080,Tizen,27
SAMSUNG,4.5,11 ,"₹1,03,900",55,1,3840 x 2160,Tizen,
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
LG,4.2,0 ,"₹36,990",43,1,3840 x 2160,,37
Hisense,4.3,92 ,"₹76,999",65,2,3840 x 2160,VIDAA,29
SONY,5,1 ,"₹4,68,999",65,1,3840 x 2160,Android,11
iFFALCON,4.2,408 ,"₹26,990",32,1,1366 x 768,Android,
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,,,"₹2,61,999",65,1,3840 x 2160,WebOS,28
LG,4.4,"1,931 ","₹65,990",65,2,3840 x 2160,WebOS,42
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
OnePlus,4.4,163 ,"₹31,999",43,1,3840 x 2160,Android,20
SONY,4.6,4 ,"₹97,490",65,1,3840 x 2160,Android,40
SONY,4.5,29 ,"₹45,110",43,1,3840 x 2160,Google,35
SAMSUNG,4.8,1 ,"₹49,990",50,1,3840 x 2160,Tizen,31
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
SAMSUNG,,,"₹2,38,999",75,1,3840 x 2160,Tizen,39
LG,,,"₹16,399",32,1,366 x 768,,21
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SAMSUNG,4.5,11 ,"₹1,03,900",55,1,3840 x 2160,Tizen,
SAMSUNG,,,"₹1,75,990",65,1,3840 x 2160,Tizen,29
Nokia,4.3,"3,162 ","₹16,999",32,1,1366 x 768,Android,15
Panasonic,4.3,25 ,"₹40,999",43,1,3840 x 2160,Linux,51
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
LG,4.4,13 ,"₹1,38,999",65,1,3840 x 2160,WebOS,60
TCL,4.6,6 ,"₹68,990",55,2,3840 x 2160,Android,71
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Haier,,,"₹27,400",43,1,1920 x 1080,Android,33
KODAK,4.4,"6,156 ","₹23,999",43,1,3840 x 2160,Android,40
SONY,4.5,12 ,"₹1,79,990",65,1,3840 x 2160,Android,
Hisense,3.9,2 ,"₹54,990",50,2,3840 x 2160,Google,
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SAMSUNG,3.8,0 ,"₹49,990",50,1,3840 x 2160,,36
Panasonic,4.1,2 ,"₹68,999",55,1,3840 x 2160,Linux,37
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
PHILIPS,4.1,31 ,"₹88,900",58,2,3840 x 2160,Linux,1
Hisense,4.2,54 ,"₹22,999",43,2,1920 x 1080,Android,34
LG,,,"₹3,79,990",65,1,3840 x 2160,WebOS,
Panasonic,,,"₹34,990",43,1,3840 x 2160,,31
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
Panasonic,,,"₹30,149",43,1,3840 x 2160,,29
MarQ,4.1,919 ,"₹16,999",32,1,1366 x 768,Android,15
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
SONY,,,"₹2,64,990",65,1,3840 x 2160,,24
SONY,5,2 ,"₹1,64,990",75,1,3840 x 2160,Android,38
LG,4.4,115 ,"₹37,999",43,1,3840 x 2160,WebOS,36
SONY,4.5,176 ,"₹53,100",50,1,1920 x 1080,Linux,31
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
Thomson,4.3,"5,049 ","₹29,999",43,1,3840 x 2160,Android,
LG,5,1 ,"₹1,89,990",65,1,3840 x 2160,,47
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
LG,4,0 ,"₹89,999",42,1,3840 x 2160,,35
Blaupunkt,4.6,650 ,"₹99,999",75,1,3840 x 2160,Google,33
Sansui,4.2,56 ,"₹54,990",65,1,3840 x 2160,Google,31
SAMSUNG,,,"₹2,10,900",65,1,3840 x 2160,Tizen,39
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
MarQ,4.3,"1,064 ","₹28,999",43,1,3840 x 2160,Android,17
LG,,,"₹94,890",48,1,3840 x 2160,WebOS,38
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SAMSUNG,3.9,0 ,"₹35,489",43,1,3840 x 2160,,25
LG,3.6,0 ,"₹54,990",55,3,3840 x 2160,,23
KODAK,4.4,"6,156 ","₹47,999",65,1,3840 x 2160,Android,31
Vu,3.3,1 ,"₹1,46,990",75,3,3840 x 2160,Android,26
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
ONIDA,4.4,15 ,"₹36,999",55,1,3840 x 2160,VIDAA,46
Micromax,4.3,60 ,"₹66,990",50,1,1920 x 1080,,
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Lloyd,4.8,0 ,"₹16,890",32,,1366 x 768,,35
Nokia,4.3,"2,804 ","₹27,999",50,1,3840 x 2160,Android,49
LG,4.6,2 ,"₹36,990",43,1,3840 x 2160,,38
SAMSUNG,,,"₹3,20,890",65,1,7680 x 4320,Tizen,30
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
LG,5,0 ,"₹37,890",43,1,3840 x 2160,,36
LG,4.3,57 ,"₹1,69,990",48,1,3840 x 2160,WebOS,
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
SONY,4.8,1 ,"₹58,900",50,1,3840 x 2160,,30
SONY,,,"₹1,43,999",65,1,3840 x 2160,Android,37
SONY,,,"₹5,13,990",85,1,3840 x 2160,Android,42
Hyundai,4.5,2 ,"₹34,990",39,1,1366 x 768,Android,
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BPL,3,0 ,"₹35,990",55,2,3840 x 2160,Android,50
LG,,,"₹16,999",32,2,,,45
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Haier,,,"₹34,500",50,1,3840 x 2160,,46
Compaq,4.2,485 ,"₹30,999",50,1,3840 x 2160,Android,29
TCL,4.3,163 ,"₹29,990",32,2,1366 x 768,Android,
SAMSUNG,,,"₹1,77,990",55,1,3840 x 2160,Tizen,13
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
SAMSUNG,4.2,0 ,"₹38,999",43,1,3840 x 2160,Tizen,34
Haier,,,"₹70,990",65,1,3840 x 2160,Google,38
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SONY,,,"₹39,000",43,1,1920 x 1080,Google,39
MOTOROLA,4.3,777 ,"₹33,000",43,1,1920 x 1080,Android,
SAMSUNG,4.8,0 ,"₹77,990",55,1,3840 x 2160,Tizen,36
Haier,4.2,25 ,"₹28,900",43,2,3840 x 2160,Android,34
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SAMSUNG,,,"₹1,05,990",50,1,3840 x 2160,Tizen,22
PHILIPS,4.3,4 ,"₹26,999",32,2,1366 x 768,Android,3
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
KODAK,4.4,"9,025 ","₹17,499",42,1,1080 x 1920,Android,38
Compaq,4.2,485 ,"₹34,999",40,1,1920 x 1080,Android,
LG,4.6,3 ,"₹26,990",32,1,1920 x 1080,WebOS,20
SAMSUNG,4.1,0 ,"₹43,999",43,1,3840 x 2160,Tizen,30
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,,,"₹16,999",32,2,,,45
Aiwa,,,"₹1,09,990",65,1,,,
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Thomson,4.5,"8,390 ","₹79,999",75,1,3840 x 2160,Android,46
MOTOROLA,4.3,336 ,"₹63,999",55,1,3840 x 2160,Android,
KODAK,4.4,"9,025 ","₹16,490",43,1,1920 x 1080,Android,34
SAMSUNG,,,"₹1,39,990",75,1,3840 x 2160,,41
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Panasonic,,,"₹36,900",42,1,1920 x 1080,,14
Thomson,4.3,"5,049 ","₹19,999",43,1,3840 x 2160,Android,41
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
Aiwa,,,"₹29,990",32,1,,,
KODAK,4.3,"1,829 ","₹19,499",43,1,3840 x 2160,Android,32
LIMEBERRY,,,"₹49,499",50,1,3840 x 2160,Android,45
Panasonic,,,"₹66,390",55,1,3840 x 2160,Android,26
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Panasonic,,,"₹34,980",43,1,,,23
Haier,,,"₹1,08,990",65,2,3840 x 2160,Android,
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,4.3,2 ,"₹1,49,890",55,1,3840 x 2160,,44
Sansui,,,"₹65,990",70,1,3840 x 2160,Google,31
SAMSUNG,,,"₹99,999",65,1,3840 x 2160,Tizen,31
LG,,,"₹1,39,990",75,1,3840 x 2160,WebOS,50
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
LIMEBERRY,,,"₹18,149",43,1,,Android,45
TRUSENSE,,,"₹39,999",55,1,3840 x 2160,WebOS,20
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Sansui,,,"₹55,990",65,1,3840 x 2160,,30
Panasonic,,,"₹51,989",55,1,,Android,23
LG,,,"₹1,09,990",55,1,3840 x 2160,WebOS,52
LG,4.3,55 ,"₹58,900",43,1,1920 x 1080,,
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
smart,,,"₹28,498",50,,3840 x 2160,Android,22
SAMSUNG,3.8,5 ,"₹49,990",50,1,3840 x 2160,Tizen,29
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
LG,4.9,1 ,"₹53,990",55,1,3840 x 2160,WebOS,43
SAMSUNG,4,8 ,"₹16,400",32,1,1366 x 768,,34
SONY,,,"₹1,70,990",65,1,3840 x 2160,Google,25
LG,4.4,13 ,"₹98,999",55,1,3840 x 2160,WebOS,44
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,4.1,15 ,"₹1,02,900",55,1,1920 x 1080,WebOS,
LG,4,0 ,"₹40,500",43,1,1920 x 1080,WebOS,7
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SAMSUNG,5,2 ,"₹1,53,900",55,1,3840 x 2160,Tizen,
SAMSUNG,,,"₹84,990",65,1,,Tizen,37
SAMSUNG,,,"₹2,99,990",65,1,7680 x 4320,Tizen,22
PHILIPS,,,"₹38,500",55,2,3840 x 2160,Android,57
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
